household_id,region,cooking_fuel,consumption_kwh,consumption_kwh_projected
102,Nairobi,firewood,655.8353872520138,709.9418067003049
103,Nairobi,charcoal,841.4597256221916,910.8801529860225
104,Nairobi,electricity,349.13288880881987,377.9363521355475
105,Nairobi,LPG,364.12590461254865,394.16629174308395
106,Nairobi,LPG,719.9558565700213,779.352214737048
107,Nairobi,LPG,335.62779936827786,363.31709281616077
108,Nairobi,electricity,596.1025051249928,645.2809617978047
109,Nairobi,electricity,65.7343234433489,71.15740512742518
110,Nairobi,charcoal,382.60115851554855,414.1657540930813
111,Nairobi,charcoal,644.4333283207415,697.5990779072026
112,Nairobi,firewood,632.4303517379408,684.6058557563209
113,Nairobi,charcoal,478.62283509557227,518.109218990957
114,Nairobi,electricity,564.7632995282156,611.3562717392934
115,Nairobi,electricity,467.8482233718415,506.44570180001847
116,Nairobi,firewood,98.41331510579232,106.53241360202018
117,Nairobi,LPG,438.50822822920736,474.685157058117
118,Nairobi,firewood,871.4824390264926,943.3797402461782
119,Nairobi,firewood,-324.4322927684518,-351.1979569218491
120,Nairobi,electricity,-85.5656870319931,-92.62485621213253
121,Nairobi,electricity,47.28300184047674,51.18384949231608
122,Nairobi,LPG,686.6780156951781,743.3289519900303
123,Nairobi,charcoal,-35.44929061036822,-38.3738570857236
124,Nairobi,LPG,424.1010750064617,459.0894136944948
125,Nairobi,charcoal,524.653314521965,567.9372129700271
126,Nairobi,electricity,1056.185325716819,1143.3206150884566
127,Nairobi,LPG,57.1271821794553,61.84017470926037
128,Nairobi,LPG,-293.18612878466206,-317.3739844093967
129,Nairobi,charcoal,71.60477856111407,77.51217279240599
130,Nairobi,electricity,397.9781921990617,430.8113930554843
131,Nairobi,electricity,978.1034792393721,1058.7970162766203
132,Nairobi,charcoal,212.27923170057352,229.79226831587084
133,Nairobi,LPG,511.47715193448545,553.6740169690805
134,Nairobi,LPG,424.24236099818927,459.24235578053987
135,Nairobi,electricity,686.3092285406782,742.9297398952841
136,Nairobi,firewood,508.5198920587948,550.4727831536454
137,Nairobi,electricity,54.27181834522361,58.749243358704554
138,Nairobi,charcoal,-169.81322199764622,-183.82281281245204
139,Nairobi,electricity,347.96878663992,376.6762115377134
140,Nairobi,firewood,502.8556683232368,544.3412609599038
141,Nairobi,LPG,-66.23970274473947,-71.70447822118048
142,Nairobi,charcoal,523.1478914678905,566.3075925139915
143,Nairobi,electricity,719.52640350673,778.8873317960353
144,Nairobi,firewood,13.969548738461185,15.122036509384234
145,Nairobi,firewood,460.0933122151279,498.051010472876
146,Nairobi,electricity,-78.5209506140913,-84.99892903975383
147,Nairobi,firewood,516.3370880280874,558.9348977904045
148,Nairobi,electricity,679.247632933218,735.2855626502085
149,Nairobi,electricity,466.1224718811893,504.5775758113874
150,Nairobi,LPG,356.3586386138367,385.7582262994783
151,Nairobi,electricity,431.59334479058157,467.19979573580457
152,Nairobi,LPG,1110.3176201411152,1201.9188238027573
153,Nairobi,LPG,519.5014888069586,562.3603616335326
154,Nairobi,electricity,-305.2383105198446,-330.4204711377318
155,Nairobi,LPG,222.22446983534599,240.55798859676204
156,Nairobi,firewood,856.8545376355587,927.5450369904923
157,Nairobi,firewood,551.3289365011815,596.813573762529
158,Nairobi,electricity,152.36350665145213,164.93349595019694
159,Nairobi,LPG,286.951994896707,310.6255344756853
160,Nairobi,charcoal,314.8921648097996,340.8707684066081
161,Nairobi,electricity,183.37609117969973,198.50461870202497
162,Nairobi,firewood,344.7726739445964,373.21641954502564
163,Nairobi,charcoal,647.7477981001356,701.1869914433968
164,Nairobi,electricity,417.3255250454609,451.7548808617114
165,Nairobi,electricity,310.9360380319496,336.58826116958545
166,Nairobi,charcoal,35.22369278557562,38.12964744038561
167,Nairobi,charcoal,383.8397901949803,415.5065728860662
168,Nairobi,firewood,-81.42258975800831,-88.139953413044
169,Nairobi,LPG,675.8137378075444,731.5683711766668
170,Nairobi,charcoal,32.95590826008828,35.67477069154556
171,Nairobi,firewood,252.19656057263842,273.0027768198811
172,Nairobi,LPG,681.0976842740215,737.2882432266283
173,Nairobi,electricity,436.79864950530896,472.83453808949696
174,Nairobi,LPG,12.55402755553638,13.589734828868131
175,Nairobi,charcoal,412.9168363506822,446.9824753496135
176,Nairobi,LPG,268.5699147019626,290.72693266487454
177,Nairobi,charcoal,300.21944682969,324.98755119313944
178,Nairobi,LPG,737.3818946228157,798.215900929198
179,Nairobi,LPG,222.92899372678446,241.3206357092442
180,Nairobi,LPG,471.5290965518387,510.4302470173654
181,Nairobi,electricity,358.1670222315073,387.7158015656067
182,Nairobi,electricity,360.1468719819528,389.8589889204639
183,Nairobi,LPG,946.8256394575791,1024.9387547128294
184,Nairobi,electricity,463.75048116292584,502.00989585886725
185,Nairobi,firewood,342.3441644538274,370.58755802126814
186,Nairobi,firewood,-62.367045431932354,-67.51232668006678
187,Nairobi,LPG,302.1580009929995,327.086036074922
188,Nairobi,charcoal,434.45639558670064,470.29904822260346
189,Nairobi,LPG,495.15505918364227,536.0053515662928
190,Nairobi,firewood,105.30571522691326,113.9934367331336
191,Nairobi,firewood,433.65032070118673,469.42647215903463
192,Nairobi,electricity,301.9582118490782,326.8697643266272
193,Nairobi,electricity,808.9805529886188,875.7214486101799
194,Nairobi,charcoal,75.68563808385375,81.92970322577168
195,Nairobi,charcoal,272.8724115366116,295.38438548838207
196,Nairobi,charcoal,14.006649252368732,15.162197815689153
197,Nairobi,LPG,166.72902064636685,180.48416484969212
198,Nairobi,charcoal,331.57805642096787,358.9332460756977
199,Nairobi,LPG,437.68701361143496,473.79619223437834
200,Nairobi,firewood,569.5111948211538,616.4958683938991
201,Nairobi,charcoal,362.8998199621456,392.83905510902264
202,Nairobi,charcoal,140.84868111241553,152.46869730418982
203,Nairobi,electricity,193.34780769107428,209.2990018255879
204,Nairobi,LPG,272.307200043309,294.77254404688205
205,Nairobi,LPG,157.48811569014367,170.48088523458054
206,Nairobi,LPG,740.8891408195213,802.0124949371319
207,Nairobi,electricity,883.417610722028,956.2995636065954
208,Nairobi,electricity,318.0614369375771,344.30150548492725
209,Nairobi,electricity,650.8230226779601,704.5159220488919
210,Nairobi,firewood,506.3510383658981,548.1249990310847
211,Nairobi,LPG,881.050679970134,953.73736106767
212,Nairobi,LPG,476.6429316377227,515.9659734978349
213,Nairobi,electricity,399.326793926313,432.2712544252338
214,Nairobi,firewood,122.76450145023506,132.89257281987946
215,Nairobi,charcoal,-356.1758663162982,-385.5603752873928
216,Nairobi,firewood,824.2994954000515,892.3042037705557
217,Nairobi,charcoal,740.4770872822023,801.5664469829841
218,Nairobi,charcoal,446.30731826191806,483.1276720185263
219,Nairobi,LPG,653.9396360063095,707.88965597683
220,Nairobi,firewood,225.01197645695638,243.5754645146553
221,Nairobi,charcoal,-93.78180602444303,-101.51880502145958
222,Nairobi,LPG,421.406329150087,456.1723513049692
223,Nairobi,electricity,-27.404691033659276,-29.665578043936165
224,Nairobi,electricity,72.94323293346719,78.96104965047823
225,Nairobi,charcoal,-176.80207690770123,-191.38824825258658
226,Nairobi,electricity,117.80360472140575,127.52240211092172
227,Nairobi,firewood,186.68209395898785,202.08336671060434
228,Nairobi,electricity,407.11629703266135,440.7033915378559
229,Nairobi,LPG,718.729633930729,778.0248287300142
230,Nairobi,firewood,839.4671240739779,908.723161810081
231,Nairobi,firewood,295.46089658262844,319.83642055069527
232,Nairobi,electricity,545.3868571937021,590.3812729121826
233,Nairobi,electricity,19.456862056329328,21.062053175976498
234,Nairobi,firewood,708.7339195731662,767.2044679379524
235,Nairobi,LPG,726.5647124203799,786.5063011950613
236,Nairobi,charcoal,503.11377034558404,544.6206563990947
237,Nairobi,firewood,117.63558318993978,127.34051880310982
238,Nairobi,LPG,253.90431251190785,274.8514182941403
239,Nairobi,firewood,238.2681661774746,257.92528988711626
240,Nairobi,charcoal,-24.17421047681671,-26.16858284115409
241,Nairobi,firewood,-299.83639122568525,-324.5728935018043
242,Nairobi,firewood,206.03212974442442,223.02978044833944
243,Nairobi,firewood,251.07809477617113,271.7920375952053
244,Nairobi,charcoal,351.1281834877725,380.0962586255137
245,Nairobi,firewood,-114.76338777760895,-124.2313672692617
246,Nairobi,charcoal,901.2832421711719,975.6391096502936
247,Nairobi,electricity,152.82514297914156,165.43321727492074
248,Nairobi,firewood,68.62893059908771,74.29081737351245
249,Nairobi,LPG,586.2264152098936,634.5900944647099
250,Nairobi,electricity,387.75793954680097,419.74796955941207
251,Nairobi,firewood,501.7087811034728,543.0997555445093
252,Nairobi,charcoal,107.8804806161894,116.78062026702503
253,Nairobi,charcoal,133.4989169066409,144.51257755143877
254,Nairobi,LPG,481.1759076230671,520.8729200019701
255,Nairobi,electricity,327.5824913067412,354.60804683954734
256,Nairobi,firewood,733.7265321333623,794.2589710343647
257,Nairobi,firewood,258.9006972172086,280.26000473762826
258,Nairobi,charcoal,260.4922706477414,281.98288297618006
259,Nairobi,charcoal,-305.80710602734973,-331.0361922746061
260,Nairobi,charcoal,506.04072745852545,547.7890874738538
261,Nairobi,charcoal,212.876449409768,230.43875648607386
262,Nairobi,LPG,305.2451222037432,330.42784478555205
263,Nairobi,firewood,609.1704643430844,659.4270276513889
264,Nairobi,LPG,174.03223950233698,188.3898992612798
265,Nairobi,electricity,104.92941557807137,113.58609236326227
266,Nairobi,charcoal,-296.5855082328038,-321.05381266201016
267,Nairobi,charcoal,455.6739551625607,493.26705646347193
268,Nairobi,electricity,157.36042606584851,170.34266121628102
269,Nairobi,firewood,1082.8320444417077,1172.1656881081485
270,Nairobi,firewood,120.9072625560787,130.8821117169552
271,Nairobi,LPG,282.44503267064584,305.74674786597416
272,Nairobi,charcoal,68.21315142522218,73.84073641780302
273,Nairobi,electricity,250.56950355106272,271.2414875940254
274,Nairobi,charcoal,525.3063555140104,568.6441298439163
275,Nairobi,LPG,40.961496455132874,44.34081991268134
276,Nairobi,charcoal,107.86229081933095,116.76092981192576
277,Nairobi,firewood,374.54237423429254,405.4421201086217
278,Nairobi,firewood,785.4344449296617,850.2327866363588
279,Nairobi,firewood,412.10666233274793,446.10546197519966
280,Nairobi,electricity,88.78087634318052,96.10529864149292
281,Nairobi,LPG,928.2399562214193,1004.8197526096865
282,Nairobi,charcoal,-99.3125570532954,-107.50584301019227
283,Nairobi,electricity,469.1885795653317,507.89663737947154
284,Nairobi,electricity,816.2139382262073,883.5515881298695
285,Nairobi,firewood,79.29284941974299,85.83450949687179
286,Nairobi,firewood,336.3551854015153,364.1044881971403
287,Nairobi,firewood,599.2136889099536,648.6488182450248
288,Nairobi,electricity,724.7151813520145,784.5041838135558
289,Nairobi,LPG,196.4595969223852,212.66751366848197
290,Nairobi,LPG,128.56796486814733,139.17482196976948
291,Nairobi,firewood,438.7978697038134,474.998693954378
292,Nairobi,firewood,709.186306427555,767.6941767078283
293,Nairobi,charcoal,640.4448571401684,693.2815578542323
294,Nairobi,LPG,591.9444434201978,640.7798600023641
295,Nairobi,firewood,355.2047105908924,384.509099214641
296,Nairobi,electricity,152.35781828361797,164.92733829201646
297,Nairobi,electricity,544.1223864060009,589.012483284496
298,Nairobi,firewood,444.2856375634763,480.9392026624631
299,Nairobi,LPG,310.88584962624805,336.53393222041353
300,Nairobi,charcoal,494.54345206663,535.343286862127
301,Nairobi,electricity,602.4298047206082,652.1302636100584
302,Nairobi,electricity,521.1254414765756,564.1182903983931
303,Nairobi,firewood,464.8039335553311,503.15025807364594
304,Nairobi,electricity,420.13219179801536,454.79309762135165
305,Nairobi,LPG,397.4923856989861,430.2855075191524
306,Nairobi,firewood,626.1157525080362,677.7703020899492
307,Nairobi,LPG,454.14705703098275,491.61418923603884
308,Nairobi,charcoal,140.34843794224082,151.92718407247568
309,Nairobi,firewood,469.71944817953204,508.47130265434345
310,Nairobi,charcoal,248.28884646968743,268.77267630343664
311,Nairobi,LPG,15.368609819634685,16.636520129754548
312,Nairobi,LPG,621.7125044314122,673.0037860470037
313,Nairobi,LPG,112.63166784917127,121.9237804467279
314,Nairobi,LPG,276.8789528728711,299.72146648488297
315,Nairobi,firewood,228.9908764079213,247.8826237115748
316,Nairobi,charcoal,663.0530695043194,717.7549477384258
317,Nairobi,charcoal,448.12136125420807,485.09137355768024
318,Nairobi,electricity,379.72817058151657,411.05574465449166
319,Nairobi,electricity,-79.12476905255477,-85.65256249939054
320,Nairobi,firewood,92.92937199714686,100.59604518691148
321,Nairobi,electricity,132.43282298052196,143.35853087641502
322,Nairobi,charcoal,826.3130801740381,894.4839092883963
323,Nairobi,firewood,562.3858082345873,608.7826374139408
324,Nairobi,electricity,435.3658734322601,471.28355799042157
325,Nairobi,firewood,83.62746770859269,90.52673379455159
326,Nairobi,LPG,546.0732211009654,591.124261841795
327,Nairobi,firewood,509.8589346991518,551.9222968118319
328,Nairobi,charcoal,-57.77433282048662,-62.54071527817677
329,Nairobi,firewood,520.7327467622357,563.6931983701202
330,Nairobi,charcoal,260.7637949807457,282.27680806665717
331,Nairobi,electricity,884.2109515007428,957.158354999554
332,Nairobi,charcoal,100.54824183989297,108.84347179168414
333,Nairobi,electricity,217.92728439346067,235.90628535592117
334,Nairobi,firewood,870.3644794233687,942.1695489757966
335,Nairobi,firewood,554.782515382505,600.5520729015617
336,Nairobi,electricity,789.9292500631595,855.0984131933702
337,Nairobi,electricity,29.880590458335462,32.34573917114814
338,Nairobi,charcoal,531.5003459877667,575.3491245317574
339,Nairobi,firewood,269.8001011922229,292.0586095405813
340,Nairobi,charcoal,353.975908184023,383.1789206092049
341,Nairobi,charcoal,728.9541495679366,789.0928669072914
342,Nairobi,charcoal,280.94611418063363,304.1241686005359
343,Nairobi,LPG,571.2250473270493,618.3511137315309
344,Nairobi,firewood,461.3834211994939,499.44755344845214
345,Nairobi,LPG,1123.0911344871142,1215.7461530823011
346,Nairobi,firewood,135.4043832197329,146.57524483536085
347,Nairobi,firewood,260.4869711803377,281.9771463027156
348,Nairobi,electricity,997.3474264755694,1079.6285891598038
349,Nairobi,firewood,560.5866701492608,606.8350704365748
350,Nairobi,charcoal,551.4448602636392,596.9390612353894
351,Nairobi,LPG,594.6860281956706,643.7476255218135
352,Nairobi,charcoal,269.3493032515107,291.57062076976035
353,Nairobi,firewood,96.88357294596665,104.8764677140089
354,Nairobi,charcoal,290.82084348274174,314.8135630700679
355,Nairobi,firewood,610.4976825232739,660.863741331444
356,Nairobi,charcoal,897.643356105976,971.698932984719
357,Nairobi,LPG,934.5331719966684,1011.6321586863936
358,Nairobi,charcoal,613.6046066872683,664.226986738968
359,Nairobi,firewood,-227.71793696592692,-246.5046667656159
360,Nairobi,LPG,-32.892269422599156,-35.605881649963585
361,Nairobi,LPG,-285.9612889167289,-309.55309525235907
362,Nairobi,charcoal,476.5891435267741,515.907747867733
363,Nairobi,LPG,712.8014199345503,771.6075370791507
364,Nairobi,LPG,775.2996918014902,839.2619163751132
365,Nairobi,firewood,444.4329081362473,481.0986230574877
366,Nairobi,firewood,-0.9165116678302638,-0.9921238804262607
367,Nairobi,LPG,962.5678080575132,1041.979652222258
368,Nairobi,electricity,561.895253720101,608.2516121520093
369,Nairobi,firewood,454.357026459044,491.84148114191515
370,Nairobi,firewood,-44.92800494483623,-48.63456535278522
371,Nairobi,charcoal,861.1275968869749,932.1706236301503
372,Nairobi,LPG,22.554897129332176,24.41567614250208
373,Nairobi,firewood,219.56122322614743,237.6750241423046
374,Nairobi,electricity,-330.9697293396313,-358.27473201015084
375,Nairobi,LPG,717.1490774619635,776.3138763525756
376,Nairobi,charcoal,142.4107179992743,154.15960223421445
377,Nairobi,firewood,390.013135998238,422.18921971809266
378,Nairobi,electricity,636.361258873574,688.8610627306439
379,Nairobi,charcoal,-316.20412668366873,-342.2909671350714
380,Nairobi,charcoal,150.06866948897306,162.44933472181333
381,Nairobi,firewood,392.1974139125241,424.55370056030733
382,Nairobi,firewood,174.21514064358888,188.58788974668497
383,Nairobi,LPG,185.10069399994646,200.37150125494205
384,Nairobi,firewood,295.40942261027334,319.7806999756209
385,Nairobi,electricity,181.16678220291286,196.11304173465317
386,Nairobi,electricity,557.2866166385377,603.262762511217
387,Nairobi,LPG,-109.74864354790043,-118.80290664060222
388,Nairobi,electricity,271.69590466374416,294.11081679850304
389,Nairobi,firewood,569.8502109995003,616.8628534069591
390,Nairobi,electricity,8.515393842541584,9.217913834551265
391,Nairobi,firewood,273.85364907879597,296.4465751277966
392,Nairobi,LPG,-129.4163117183491,-140.09315743511291
393,Nairobi,charcoal,262.67270113190443,284.34319897528655
394,Nairobi,LPG,-2.806392906096164,-3.0379203208490977
395,Nairobi,charcoal,374.0525341081626,404.91186817208603
396,Nairobi,electricity,495.9868971272201,536.9058161402157
397,Nairobi,LPG,637.6102602518429,690.21310672262
398,Nairobi,electricity,-69.09756054998866,-74.79810929536272
399,Nairobi,charcoal,280.4003583277101,303.53338788974617
400,Nairobi,firewood,300.4299742343613,325.2154471086961
401,Nairobi,firewood,241.12651978469853,261.01945766693615
402,Nairobi,LPG,526.053357860597,569.4527598840963
403,Nairobi,charcoal,97.65301877770975,105.7093928268708
404,Nairobi,electricity,-85.55407642528519,-92.61228773037122
405,Nairobi,LPG,566.0769957043215,612.778347849928
406,Nairobi,firewood,-65.42682172638007,-70.82453451880643
407,Nairobi,LPG,-48.555185501848825,-52.56098830575135
408,Nairobi,electricity,549.7165910295572,595.0682097894957
409,Nairobi,electricity,69.70217778196786,75.45260744898022
410,Nairobi,electricity,225.31189827275725,243.90012988025973
411,Nairobi,firewood,520.2088242210891,563.1260522193289
412,Nairobi,LPG,286.6758474041158,310.3266048149554
413,Nairobi,firewood,419.3180424922004,453.91178099780694
414,Nairobi,LPG,478.30438460132416,517.7644963309334
415,Nairobi,firewood,-95.28469294370859,-103.14568011156456
416,Nairobi,charcoal,-178.0572372214067,-192.74695929217276
417,Nairobi,electricity,475.503490499751,514.7325284659805
418,Nairobi,electricity,-151.90295549767745,-164.43494932623585
419,Nairobi,charcoal,563.4233899018884,609.9058195687942
420,Nairobi,LPG,219.4829751837481,237.5903206364073
421,Nairobi,electricity,172.5409679026438,186.77559775461194
422,Nairobi,firewood,425.1087738089488,460.1802476481871
423,Nairobi,electricity,635.1819270246888,687.5844360042256
424,Nairobi,LPG,295.3981208856817,319.76846585875046
425,Nairobi,electricity,239.50777469891224,259.2671661115725
426,Nairobi,charcoal,302.5789482519529,327.541711482739
427,Nairobi,electricity,442.4664772129781,478.96996158304876
428,Nairobi,firewood,679.1048271259924,735.1309753638868
429,Nairobi,electricity,-77.84712596766911,-84.26951386000182
430,Nairobi,firewood,730.468621001011,790.7322822335944
431,Nairobi,LPG,416.9229580576739,451.319102097432
432,Nairobi,LPG,-108.07052028807323,-116.98633821183927
433,Nairobi,electricity,461.8024828164005,499.9011876487536
434,Nairobi,electricity,584.3626623296329,632.5725819718276
435,Nairobi,charcoal,659.2404074512368,713.6277410659638
436,Nairobi,firewood,-15.03985807863188,-16.280646370119012
437,Nairobi,firewood,31.80524806570861,34.42918103112957
438,Nairobi,LPG,700.7465065960414,758.5580933902148
439,Nairobi,LPG,110.74942193904542,119.88624924901667
440,Nairobi,charcoal,234.20824669160848,253.53042704366618
441,Nairobi,LPG,322.3507483236166,348.94468506031495
442,Nairobi,firewood,87.47700507060694,94.69385798893201
443,Nairobi,electricity,400.28416001026807,433.3076032111152
444,Nairobi,electricity,441.8849327166556,478.3404396657797
445,Nairobi,firewood,99.02409441728082,107.1935822067065
446,Nairobi,electricity,551.0959878897061,596.5614068906068
447,Nairobi,electricity,341.92103994888976,370.1295257446732
448,Nairobi,charcoal,908.1160425595448,983.0356160707072
449,Nairobi,charcoal,155.60532600531425,168.44276540075268
450,Nairobi,charcoal,225.95913565364398,244.60076434506962
451,Nairobi,firewood,122.26694794257367,132.353971147836
452,Nairobi,firewood,833.9460056179018,902.7465510813788
453,Nairobi,electricity,624.6674681045901,676.2025342232188
454,Nairobi,LPG,48.22708067132055,52.2058148267045
455,Nairobi,electricity,571.6447604506741,618.8054531878547
456,Nairobi,firewood,680.0672154953961,736.1727607737663
457,Nairobi,firewood,-78.22968081062135,-84.6836294774976
458,Nairobi,LPG,-34.030390328777685,-36.83789753090184
459,Nairobi,charcoal,352.7716010670088,381.87525815503705
460,Nairobi,charcoal,390.4880386110272,422.70330179643696
461,Nairobi,firewood,643.4358689198258,696.5193281057115
462,Nairobi,LPG,-25.586441122301892,-27.6973225148918
463,Nairobi,charcoal,539.1993742115906,583.6833225840468
464,Nairobi,firewood,513.7090753217748,556.0900740358212
465,Nairobi,firewood,-144.65768461859773,-156.59194359963203
466,Nairobi,firewood,-159.39031092990626,-172.54001158162353
467,Nairobi,electricity,554.8374239859522,600.6115114647934
468,Nairobi,charcoal,836.1697602141478,905.153765431815
469,Nairobi,LPG,589.2516846057782,637.864948585755
470,Nairobi,LPG,411.169242866162,445.09070540262036
471,Nairobi,firewood,326.9848241882263,353.961072183755
472,Nairobi,firewood,411.4733167662462,445.41986539946157
473,Nairobi,firewood,377.62352528893075,408.77746612526755
474,Nairobi,firewood,516.6205932945633,559.2417922413647
475,Nairobi,LPG,459.7011649085417,497.62651101349644
476,Nairobi,charcoal,537.9303215196824,582.3095730450561
477,Nairobi,firewood,697.6209493555091,755.1746776773387
478,Nairobi,LPG,371.2012137247701,401.8253138570637
479,Nairobi,LPG,745.9001443553082,807.4369062646211
480,Nairobi,electricity,45.86828451871628,49.652417991510376
481,Nairobi,charcoal,304.77289152964426,329.9166550808399
482,Nairobi,LPG,107.49013816699204,116.35807456576889
483,Nairobi,electricity,106.92160047014568,115.7426325089327
484,Nairobi,electricity,482.11153887737976,521.8857408347636
485,Nairobi,LPG,419.71621634430153,454.3428041927064
486,Nairobi,charcoal,-362.6338054180136,-392.5510943649997
487,Nairobi,electricity,288.0567888255179,311.82147390362314
488,Nairobi,LPG,645.9649877918894,699.2570992847203
489,Nairobi,firewood,743.2631642039963,804.5823752508261
490,Nairobi,charcoal,396.8777477217191,429.62016190876096
491,Nairobi,firewood,324.36585167069006,351.126034433522
